"year","site","sp","nest","datetime_","state","comment"
"2011","barr","amgp","a301","2011-07-15 08:18:18","w","end_of_field"
"2011","barr","amgp","a302","2011-07-01 20:55:18","d","capture"
"2012","barr","amgp","a303","2012-07-14 18:23:27","p",NA
"2012","barr","amgp","a305","2012-07-15 14:53:27","d",NA
"2012","barr","amgp","a403","2012-07-10 11:53:31","d","4 eggs left"
"2012","barr","amgp","a802","2012-07-19 06:44:20","w","end_of_field"
"2011","barr","basa","b301","2011-06-17 07:47:24","d",NA
"2012","barr","basa","b303","2012-07-10 22:03:19","hs",NA
"2012","barr","basa","b303","2012-07-11 05:30:19","hg","2 chick and 2 eggs, left Barrow"
"2012","barr","basa","b304","2012-07-14 20:38:27","hs",NA
"2012","barr","basa","b304","2012-07-15 06:13:27","hg","3 chick 1 egg"
"2012","barr","basa","b304","2012-07-15 09:33:27","ln","4 chicks"
"2012","barr","basa","b402","2012-07-12 06:33:28","hs",NA
"2012","barr","basa","b402","2012-07-12 07:29:28","hg","3 chick 1 egg"
"2012","barr","basa","b402","2012-07-13 05:12:28","hd","4 chicks"
"2012","barr","basa","b403","2012-07-19 04:33:28","hs",NA
"2012","barr","basa","b403","2012-07-19 05:39:28","hg","1 chick 3 eggs"
"2012","barr","basa","b403","2012-07-19 21:18:28","hd","4 chicks"
"2012","barr","basa","b404","2012-07-11 16:43:16","hs",NA
"2012","barr","basa","b404","2012-07-12 08:12:16","hg","2 chicks 1 egg"
"2012","barr","basa","b404","2012-07-12 12:48:16","hd",NA
"2012","barr","basa","b405","2012-07-19 06:01:22","w","end_of_field"
"2011","barr","basa","b501","2011-07-09 09:20:02","u","possibly depredated"
"2012","barr","basa","b601","2012-07-18 04:33:25","hs",NA
"2012","barr","basa","b601","2012-07-18 04:33:25","hs",NA
"2012","barr","basa","b601","2012-07-19 05:05:25","hg","3 chick 1 egg"
"2014","isla","blgo","ka1411_is2014","2014-06-27 08:05:19","ln","4 chicks"
"2012","barr","dunl","d702","2012-07-09 01:43:19","p",NA
"2012","barr","lbdo","l301","2012-07-12 04:23:28","hs",NA
"2012","barr","lbdo","l301","2012-07-12 05:33:28","hg","3 chick 1 egg"
"2012","barr","lbdo","l301","2012-07-13 05:13:28","ln","4 chicks"
"2012","barr","lbdo","l302","2012-07-15 20:58:26","p",NA
"2012","barr","lbdo","l401","2012-06-26 19:13:29","p",NA
"2013","barr","lbdo","l501","2013-07-08 04:13:23","ln",NA
"2013","barr","lbdo","l502","2013-07-09 09:03:27","d",NA
"2013","barr","lbdo","l801","2013-07-02 23:53:23","p",NA
"2013","barr","lbdo","l805","2013-08-12 07:51:23","w","end_of_field"
"2008","barr","pesa","p101","2008-07-05 13:00:00","tag_loss",NA
"2008","barr","pesa","p101","2008-07-19 00:00:00","hd",NA
"2009","barr","pesa","p101","2009-07-06 19:46:00","hd",NA
"2008","barr","pesa","p201","2008-07-07 06:30:00","tag_loss",NA
"2008","barr","pesa","p201","2008-07-09 03:00:00","hd",NA
"2008","barr","pesa","p202","2008-06-28 11:00:00","tag_loss",NA
"2008","barr","pesa","p202","2008-07-08 11:00:00","hd",NA
"2009","barr","pesa","p202","2009-06-25 18:00:00","tag_loss",NA
"2009","barr","pesa","p202","2009-07-04 02:00:00","hd",NA
"2009","barr","pesa","p205","2009-06-24 13:00:00","tag_loss",NA
"2009","barr","pesa","p205","2009-07-02 17:20:00","p",NA
"2008","barr","pesa","p301","2008-07-02 13:00:00","tag_loss",NA
"2009","barr","pesa","p301","2009-06-20 07:00:00","tag_loss",NA
"2009","barr","pesa","p301","2009-06-27 16:45:00","p",NA
"2008","barr","pesa","p301",NA,"u",NA
"2009","barr","pesa","p302","2009-07-02 21:00:00","tag_loss",NA
"2009","barr","pesa","p302","2009-07-06 00:10:00","d",NA
"2009","barr","pesa","p304","2009-07-01 05:00:00","u",NA
"2009","barr","pesa","p304","2009-07-04 11:00:00","p",NA
"2008","barr","pesa","p309","2008-06-27 21:00:00","tag_loss",NA
"2008","barr","pesa","p309",NA,"u",NA
"2009","barr","pesa","p801","2009-07-04 20:10:00","hd",NA
"2009","barr","pesa","p802","2009-07-07 06:48:00","hd",NA
"2014","neth","reds","re117_nl2014",NA,"hs",NA
"2014","neth","reds","re117_nl2014",NA,"hg","1 chick 3 eggs"
"2014","neth","reds","re117_nl2014",NA,"hg","2 chicks 2 eggs"
"2014","neth","reds","re133_nl2014","2014-06-19 18:20:09","hs","J49"
"2014","neth","reds","re133_nl2014","2014-06-20 06:10:09","hd","4 chicks"
"2014","neth","reds","re133_nl2014","2014-06-20 08:20:09","ln","4 chicks"
"2014","neth","reds","re213_nl2014","2014-06-01 13:35:42","hg","3 chicks 1 egg"
"2014","neth","reds","re213_nl2014","2014-06-01 13:35:42","hd",NA
"2014","neth","reds","re213_nl2014","2014-06-01 16:19:42","ln","4 chicks"
"2015","chuk","rnph","pl02","2015-06-30 18:00:00","hs","actogram based"
"2015","chuk","rnph","pl02","2015-07-02 02:20:19","ln",NA
"2015","chuk","rnph","pl03","2015-07-07 15:00:00","hs",NA
"2015","chuk","rnph","pl03","2015-07-08 09:07:48","ln",NA
"2015","chuk","rnph","pl04","2015-07-06 02:55:42","ln",NA
"2015","chuk","rnph","pl06","2015-06-30 16:54:38","ln",NA
"2015","chuk","rnph","pl11","2015-07-08 02:40:06","ln","actogram based"
"2015","chuk","rnph","pl14","2015-07-08 15:00:00","hs",NA
"2015","chuk","rnph","pl14","2015-07-09 03:02:36","ln","actogram based"
"2015","chuk","rnph","pl21","2015-07-10 15:13:55","hd",NA
"2015","chuk","rnph","pl22","2015-07-10 14:59:27","w","end_of_field"
"2015","chuk","rnph","pl26","2015-07-10 02:26:25","hs",NA
"2015","chuk","rnph","pl26","2015-07-10 05:55:05","ln",NA
"2012","barr","sesa","s1003","2012-07-08 17:09:53","d","2 eggs left"
"2012","barr","sesa","s111","2012-07-07 03:58:23","d","3 eggs left"
"2012","barr","sesa","s201","2012-07-02 13:37:19","hd","2 chicks 1 egg; 2012-07-03  08:51:00 stil there"
"2012","barr","sesa","s201","2012-07-03 07:43:19","ln","2 chicks"
"2012","barr","sesa","s304","2012-06-27 19:38:19","d","4 eggs left"
"2012","barr","sesa","s305","2012-06-23 18:28:23","d","4 eggs left"
"2012","barr","sesa","s310","2012-07-09 20:23:28","d","1 egg left"
"2012","barr","sesa","s313","2012-07-12 05:28:27","hs",NA
"2012","barr","sesa","s313","2012-07-12 07:20:27","hg","1 chick"
"2012","barr","sesa","s313","2012-07-13 04:15:27","hd","3 chicks"
"2012","barr","sesa","s313","2012-07-13 13:48:27","ln","3 chicks 1 egg"
"2012","barr","sesa","s318","2012-07-02 07:53:34","d","4 eggs left"
"2012","barr","sesa","s325","2012-07-13 06:03:25","d","4 eggs left"
"2013","barr","sesa","s409","2013-07-07 04:43:30","d","4 egg left"
"2012","barr","sesa","s419","2012-07-16 06:30:31","d","4 eggs left"
"2012","barr","sesa","s420","2012-07-04 13:33:31","d","4 eggs left"
"2012","barr","sesa","s422","2012-07-09 15:08:18","d","3 eggs left"
"2012","barr","sesa","s502","2012-07-02 09:51:20","hs",NA
"2012","barr","sesa","s502","2012-07-03 06:03:20","hd","1 chick 2 eggs"
"2012","barr","sesa","s502","2012-07-04 11:03:20","ln",NA
"2012","barr","sesa","s506","2012-06-25 08:45:20","u","2 eggs left"
"2012","barr","sesa","s509","2012-06-28 13:33:17","d","3 eggs left"
"2013","barr","sesa","s510","2013-07-03 01:43:18","d","3 eggs left"
"2012","barr","sesa","s511","2012-07-15 01:23:30","d","2 eggs left"
"2013","barr","sesa","s516","2013-07-02 11:23:30","d",NA
"2013","barr","sesa","s520","2013-07-07 19:27:19","hd",NA
"2013","barr","sesa","s520","2013-07-08 15:33:19","ln",NA
"2011","barr","sesa","s602","2011-07-14 07:03:17","w","end_of_field"
"2012","barr","sesa","s609","2012-07-05 19:38:22","d","3 eggs left"
"2012","barr","sesa","s610","2012-07-05 05:36:24","d","3 eggs left"
"2013","barr","sesa","s627","2013-07-01 00:03:19","d","3 eggs left"
"2012","barr","sesa","s704","2012-07-04 07:28:20","d","2 eggs left"
"2012","barr","sesa","s705","2012-07-13 09:38:20","d","3 eggs left"
"2012","barr","sesa","s706","2012-06-26 05:28:18","d","3 eggs left"
"2012","barr","sesa","s708","2012-06-26 16:23:19","u","system_taken_off"
"2012","barr","sesa","s711","2012-07-08 06:33:25","u",NA
"2012","barr","sesa","s712","2012-07-07 05:33:19","hs",NA
"2012","barr","sesa","s712","2012-07-07 07:29:19","hd","1 chick 3 eggs"
"2012","barr","sesa","s712","2012-07-08 13:18:19","ln","1 chick 3 eggs"
"2012","barr","sesa","s716","2012-07-08 06:18:18","d","2 eggs left"
"2012","barr","sesa","s717","2012-07-13 09:53:20","d","2 eggs left"
"2012","barr","sesa","s720","2012-07-17 00:58:24","d","3 eggs left"
"2012","barr","sesa","s777","2012-07-12 04:03:23","d","4 eggs left"
