"act_ID","const_comp","year","site","sp","nest","lat","lon","local_plus","on","on_state","off","off_state","one_since","circumstances","start","widowed_bird","sex","days_of_unip","end","state","end_circ","comments"
"biparental_01","y",2011,"barr","amgp","a301",71.3211,-156.675,-2.445,"2011-06-29 11:40:18",NA,"2011-07-15 08:18:18",NA,"always","unknown","2011-06-29 12:03:18","129270258","m",15.84,"2011-07-15 08:18:18","w","end_of_field",NA
"biparental_02","y",2011,"barr","amgp","a302",71.3195,-156.671,-2.44473333333333,"2011-06-29 09:20:18",NA,"2011-07-01 20:55:18",NA,"2011-06-29 10:13:18","catching","2011-06-29 13:33:18","129270269","f",2.31,"2011-07-01 20:55:18","d","capture",NA
"biparental_03","y",2012,"barr","amgp","a303",71.3209,-156.634,-2.44226666666667,"2012-07-06 13:40:27",NA,"2012-07-14 18:23:27",NA,"2012-07-12 06:27:27","catching","2012-07-12 07:43:27","127231990","m",2.44,"2012-07-14 18:23:27","p",NA,NA
"biparental_04","y",2012,"barr","amgp","a305",71.3258,-156.635,-2.44233333333333,"2012-07-08 09:33:27",NA,"2012-07-15 14:53:27",NA,"2012-07-13 04:43:27","catching","2012-07-13 09:08:27","127231996","m",2.24,"2012-07-15 14:53:27","d",NA,NA
"biparental_05",NA,2012,"barr","amgp","a403",71.3271,-156.619,-2.44126666666667,"2012-07-07 12:07:31",NA,"2012-07-10 11:53:31",NA,"2012-07-07 12:30:31","bpd","2012-07-07 23:03:31","NA_2012_a403","f",2.53,"2012-07-10 11:53:31","d","4 eggs left",NA
"biparental_06",NA,2012,"barr","amgp","a802",71.322,-156.666,-2.4444,"2012-06-30 14:35:20",NA,"2012-07-19 06:47:20",NA,"2012-07-06 01:03:20","bpd","2012-07-06 07:33:20","127231980","m",12.97,"2012-07-19 06:44:20","w","end_of_field",NA
"biparental_07",NA,2011,"barr","basa","b301",71.3228,-156.621,-2.4414,"2011-06-14 15:19:30",NA,"2011-06-17 07:47:24",NA,"2011-06-14 19:33:30","bpd","2011-06-14 20:18:30","229194768","m",2.48,"2011-06-17 07:47:24","d",NA,NA
"biparental_08",NA,2012,"barr","basa","b303",71.3255,-156.668,-2.44453333333333,"2012-06-22 13:40:19",NA,"2012-07-12 04:33:19",NA,"2012-07-07 04:43:19","bpd","2012-07-07 04:43:19","255174720","f",3.72,"2012-07-10 22:03:19","s",NA,NA
"biparental_09",NA,2012,"barr","basa","b304",71.328,-156.637,-2.44246666666667,"2012-07-03 07:26:27",NA,"2012-07-15 09:33:27",NA,"2012-07-11 16:58:27","bpd","2012-07-11 16:58:27","255174593","m",3.15,"2012-07-14 20:38:27","s",NA,NA
"biparental_10","n",2012,"barr","basa","b402",71.3275,-156.631,-2.44206666666667,"2012-07-07 19:42:28",NA,"2012-07-13 05:12:28",NA,"2012-07-10 15:48:28","bpd","2012-07-10 15:48:28","257188507","f",1.61,"2012-07-12 06:33:28","s",NA,NA
"biparental_11",NA,2012,"barr","basa","b403",71.3274,-156.632,-2.44213333333333,"2012-07-01 09:44:59",NA,"2012-07-19 05:39:28",NA,"2012-07-14 11:43:28","bpd","2012-07-14 11:43:28","255174592","m",4.7,"2012-07-19 04:33:28","s",NA,NA
"biparental_12",NA,2012,"barr","basa","b404",71.3242,-156.682,-2.44546666666667,"2012-07-08 08:19:16",NA,"2012-07-12 12:48:16",NA,"always","unknown","2012-07-08 09:03:16","257188586","m",3.32,"2012-07-11 16:43:16","s",NA,NA
