sp,species,scinam,suborder,family,genus,order
amgp,American golden plover,Pluvialis dominica,Charadrii,Charadriidae,Pluvialis,1
basa,Baird's sandpiper,Calidris bairdii,Scolopaci,Scolopacidae,Calidris,5
blgo,Black-tailed godwit,Limosa limosa,Scolopaci,Scolopacidae,Limosa,2
dunl,Dunlin,Calidris alpina,Scolopaci,Scolopacidae,Calidris,6
lbdo,Long-billed dowitcher,Limnodromus scolopaceus,Scolopaci,Scolopacidae,Limnodromus,4
reds,Redshank,Tringa totanus,Scolopaci,Scolopacidae,Tringa,3
rnph,Red-necked phalarope,Phalaropus lobatus,Scolopaci,Scolopacidae,Phalaropus,10
pesa,Pectoral sandpiper,Calidris melanotos,Scolopaci,Scolopacidae,Calidris,9
sesa,Semipalmated sandpiper,Calidris pusilla,Scolopaci,Scolopacidae,Calidris,8
wesa,Western sandpiper,Calidris mauri,Scolopaci,Scolopacidae,Calidris,7
